zipcode,bldgtype,eui,wui,ghg,ess,electricity,natural_gas,gfa,year
11209,Multifamily Housing,105.2,35.16,4.76,82.0,166805.9,4833716.8,57036.0,1930
10022,Hotel,188.2,57.84,7.49,42.0,4605159.3,13997499.9,153761.0,1963
10065,Hotel,239.6,81.66,8.35,45.0,16554842.3,22649785.2,320000.0,1960
10037,Multifamily Housing,130.4,44.84,5.24,71.0,4222144.7,20595911.7,280358.0,1958
10003,Hotel,201.5,45.12,7.88,55.0,7086038.2,3212100.4,205473.0,1901
10021,Multifamily Housing,172.7,40.08,5.84,21.0,2611263.9,2891651.0,65953.0,1999
10010,Office,127.0,12.34,4.45,96.0,4400814.5,95573.3,133562.0,1911
10451,Multifamily Housing,91.5,37.92,3.81,89.0,1163794.3,8062985.2,139417.0,1936
10022,Hotel,204.3,43.14,7.64,26.0,9948454.8,19026472.8,247600.0,1927
10001,Office,173.5,14.43,5.43,43.0,3563401.7,2027710.2,78080.0,2005
10011,Multifamily Housing,164.4,33.69,5.59,6.0,2633740.7,1971496.8,58594.0,1906
10002,Hotel,311.9,104.76,10.93,10.0,5070973.2,5079721.4,64000.0,2004
10014,Multifamily Housing,125.5,37.45,4.63,53.0,4488156.3,6903869.2,161375.0,1997
11360,Multifamily Housing,115.4,40.31,4.55,61.0,3185211.1,10082600.3,176942.0,1963
10456,Multifamily Housing,108.6,80.47,4.29,60.0,2215090.9,6167657.1,120000.0,2003
10013,Distribution Center,196.6,9.67,6.5,14.0,12472269.5,6315256.8,213980.0,1926
11226,Multifamily Housing,106.8,49.54,4.48,65.0,430909.7,3611899.8,51000.0,1937
11219,Multifamily Housing,103.5,45.77,3.99,70.0,1172843.7,3799599.9,76700.0,1939
10457,Multifamily Housing,100.1,36.65,5.36,59.0,926966.9,202287.9,81667.0,1936
11101,Non-Refrigerated Warehouse,68.7,3.26,2.48,60.0,2115840.6,3827886.3,154100.0,1962
11101,Hotel,224.6,45.57,7.55,29.0,4400312.2,2819386.6,69159.0,2007
11435,Multifamily Housing,91.1,49.86,4.01,93.0,485247.0,4616300.1,71465.0,1952
11101,Distribution Center,81.0,1.03,2.84,56.0,526822.0,763790.0,30000.0,1931
11225,Multifamily Housing,129.3,8756.18,5.6,61.0,277672.0,2969100.0,32350.0,1925
10001,Office,122.3,14.71,3.74,75.0,6461669.4,18960.0,146416.0,1927
11375,Multifamily Housing,126.8,60.18,5.26,31.0,4717703.8,18285579.1,273771.0,1950
11374,Multifamily Housing,143.2,5629.12,6.4,23.0,2980507.0,24762686.0,246960.0,1938
11374,Multifamily Housing,100.0,5148.01,4.12,80.0,3344122.4,18338638.0,308700.0,1938
11426,Multifamily Housing,121.0,42.28,4.63,48.0,5110008.3,15857825.6,279855.0,1966
10001,Hotel,274.7,86.1,9.2,83.0,8033914.4,8245445.1,125000.0,1999
11362,Multifamily Housing,163.3,39.25,6.33,20.0,3183528.3,12136746.8,146484.0,1953
11362,Multifamily Housing,166.6,53.73,6.63,19.0,2929031.3,14010352.5,151492.0,1953
11362,Multifamily Housing,141.1,43.53,5.53,22.0,2374008.5,8972762.8,124200.0,1951
11362,Multifamily Housing,157.7,62.28,6.05,19.0,3230916.5,11634153.0,149406.0,1951
11362,Multifamily Housing,149.2,62.2,5.81,29.0,2066128.1,7812792.1,103032.0,1951
10001,Hotel,167.9,15.8,5.47,27.0,1976691.9,1848519.4,50000.0,1994
11203,Multifamily Housing,121.6,55.58,5.06,60.0,4842199.6,21967999.6,316000.0,1953
11365,Multifamily Housing,143.8,62.9,5.7,44.0,8629220.5,23780680.6,350000.0,1954
11365,Multifamily Housing,167.6,62.63,6.58,22.0,9100068.0,28828553.4,350000.0,1953
10029,Multifamily Housing,131.9,0.19,4.3,31.0,6298040.1,4184631.3,175885.0,1973
11375,Multifamily Housing,94.2,43.63,3.84,91.0,1993785.6,7880700.0,160791.0,1953
11375,Multifamily Housing,98.4,48.26,4.17,84.0,2509706.4,14916999.4,251699.0,1953
11375,Multifamily Housing,139.3,70.27,5.65,49.0,4439269.1,16498999.8,228690.0,1953
11435,Multifamily Housing,103.2,54.2,4.8,82.0,1043140.8,10302999.7,150903.0,1953
10026,Multifamily Housing,213.2,102.77,9.46,1.0,2094827.4,24022656.2,153700.0,1989
10033,Multifamily Housing,54.2,68.25,1.66,100.0,2127678.5,176148.5,114097.0,1969
10019,Office,141.0,21.46,4.32,90.0,6551394.1,1435754.7,169416.0,1909
11385,Distribution Center,103.2,5.02,3.18,37.0,5234449.5,3243162.2,200000.0,1950
11235,Multifamily Housing,115.4,61.23,4.39,72.0,2305455.4,6677050.0,127500.0,1954
11372,Multifamily Housing,100.4,76.9,4.49,91.0,256342.4,8413912.9,104500.0,1944
11432,Multifamily Housing,126.3,90.24,5.76,52.0,188600.3,7454293.8,71620.0,1938
11210,Multifamily Housing,89.7,39.05,4.15,91.0,109765.3,4739826.4,63000.0,1935
11223,Multifamily Housing,87.8,47.98,4.0,89.0,334421.8,8611425.0,121680.0,1940
11230,Multifamily Housing,103.9,106.94,4.83,72.0,165242.5,6722745.3,77000.0,1937
